股票代码,股票名称,2020年分红,2020年收盘价,2020年股息率(%),2021年分红,2021年收盘价,2021年股息率(%),2022年分红,2022年收盘价,2022年股息率(%),2023年分红,2023年收盘价,2023年股息率(%),2024年分红,2024年收盘价,2024年股息率(%),2025年分红,2025年收盘价,2025年股息率(%),2020-2025年累计分红,2020-2025年平均股息率(%)
sz.300881,盛德鑫泰,0.0,34.61,0.0,0.13,27.77,0.47,0.105,32.09,0.33,0.36,25.58,1.41,0.5528,30.74,1.8,1.0,33.98,2.94,2.1478,1.39
sz.300896,爱美客,0.0,655.02,0.0,3.5,536.11,0.65,2.1,566.35,0.37,4.648,294.33,1.58,2.323,182.5,1.27,5.0,142.81,3.5,17.571,1.47
sz.300979,华利集团,0.0,0.0,0.0,1.0,89.05,1.12,1.1,57.11,1.93,1.2,52.64,2.28,1.2,78.65,1.53,3.3,57.8,5.71,7.8,2.51
sz.300982,苏文电能,0.0,0.0,0.0,0.5,73.59,0.68,0.6,49.3,1.22,0.35,32.84,1.07,0.35,19.11,1.83,0.6,19.32,3.11,2.4,1.58
sz.301003,江苏博云,0.0,0.0,0.0,1.0,54.78,1.83,1.3,22.6,5.75,0.3,24.96,1.2,0.9,21.83,4.12,1.8,39.34,4.58,5.3,3.5
sz.301004,嘉益股份,0.0,0.0,0.0,0.2,20.48,0.98,0.3,29.78,1.01,1.0,45.45,2.2,2.0,115.65,1.73,4.0,54.48,7.34,7.5,2.65
sz.301015,百洋医药,0.0,0.0,0.0,0.0,30.3,0.0,0.667,23.84,2.8,0.762,35.86,2.12,0.762,24.21,3.15,0.762,22.43,3.4,2.953,2.87
sz.301016,雷尔伟,0.0,0.0,0.0,0.0,25.92,0.0,0.15,19.72,0.76,0.22,22.06,1.0,0.33,20.96,1.57,0.6,18.91,3.17,1.3,1.62
sz.301023,江南奕帆,0.0,0.0,0.0,0.2,77.65,0.26,0.8,35.85,2.23,0.9418,41.5,2.27,1.6,47.2,3.39,1.3,37.39,3.48,4.8418,2.33
sz.301043,绿岛风,0.0,0.0,0.0,0.0,38.89,0.0,0.08,23.46,0.34,0.61,32.73,1.86,0.88,28.63,3.07,1.46,56.52,2.58,3.03,1.96
sz.301047,义翘神州,0.0,0.0,0.0,0.0,345.7,0.0,10.0,99.66,10.03,2.0,82.4,2.43,2.0,61.85,3.23,5.0,68.8,7.27,19.0,5.74
sz.301056,森赫股份,0.0,0.0,0.0,0.0,11.53,0.0,0.2,7.61,2.63,0.05,10.22,0.49,0.2,8.18,2.44,0.6,11.88,5.05,1.05,2.65
sz.301077,星华新材,0.0,0.0,0.0,0.0,58.55,0.0,2.0,21.56,9.28,0.7,20.33,3.44,0.867,26.73,3.24,1.1,27.37,4.02,4.667,4.99
