股票代码,股票名称,2020年分红,2020年收盘价,2020年股息率(%),2021年分红,2021年收盘价,2021年股息率(%),2022年分红,2022年收盘价,2022年股息率(%),2023年分红,2023年收盘价,2023年股息率(%),2024年分红,2024年收盘价,2024年股息率(%),2025年分红,2025年收盘价,2025年股息率(%),2020-2025年累计分红,2020-2025年平均股息率(%)
sh.601991,大唐发电,0.065,2.39,2.72,0.091,3.24,2.81,0.0,2.79,0.0,0.029,2.42,1.2,0.0075,2.85,0.26,0.1171,3.5,3.35,0.3096,2.07
sh.601997,贵阳银行,0.31,7.95,3.9,0.3,6.51,4.61,0.3,5.49,5.46,0.3,5.14,5.84,0.29,6.0,4.83,0.29,6.01,4.83,1.79,4.91
sh.601998,中信银行,0.239,5.11,4.68,0.254,4.62,5.5,0.302,4.98,6.06,0.329,5.29,6.22,0.5086,6.98,7.29,0.3602,7.64,4.71,1.9928,5.74
sh.603006,联明股份,0.12,12.24,0.98,0.64,10.87,5.89,0.38,8.8,4.32,0.38,12.92,2.94,0.28,10.43,2.68,0.76,13.29,5.72,2.56,3.75
sh.603008,喜临门,0.05,19.32,0.26,0.25,39.03,0.64,0.28,28.55,0.98,0.08,17.01,0.47,0.5,16.76,2.98,0.8,22.04,3.63,1.96,1.49
sh.603027,千禾味业,0.128,37.38,0.34,0.093,24.08,0.39,0.084,20.78,0.4,0.108,16.17,0.67,0.5,12.11,4.13,0.6,9.23,6.5,1.513,2.07
sh.603062,麦加芯彩,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,62.44,1.92,1.86,35.99,5.17,1.76,45.89,3.84,4.82,3.64
sh.603071,物产环能,0.0,0.0,0.0,0.0,25.26,0.0,0.6,16.18,3.71,0.8,15.2,5.26,0.7,12.92,5.42,0.6,13.33,4.5,2.7,4.72
sh.603075,热威股份,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.27,0.0,0.5,18.63,2.68,0.7,22.38,3.13,1.2,2.91
sh.603095,越剑智能,0.0,23.41,0.0,0.5,25.14,1.99,0.8,22.16,3.61,0.8,16.22,4.93,0.55,22.01,2.5,1.1,14.27,7.71,3.75,4.15
sh.603096,新经典,0.75,52.01,1.44,0.75,29.5,2.54,0.6,19.88,3.02,0.8,19.68,4.07,0.9,18.95,4.75,0.8,17.93,4.46,4.6,3.38
sh.603111,康尼机电,0.0,5.59,0.0,0.0,5.35,0.0,0.0,4.14,0.0,0.0,5.57,0.0,0.2,6.03,3.32,0.25,7.03,3.56,0.45,3.44
sh.603113,金能科技,0.0,16.35,0.0,0.348,16.3,2.13,0.35,9.07,3.86,0.12,8.07,1.49,0.094,5.63,1.67,0.355,6.85,5.18,1.267,2.87
sh.603115,海星股份,0.75,15.19,4.94,0.75,26.2,2.86,0.75,15.69,4.78,0.75,14.64,5.12,0.5,12.91,3.87,0.6,18.27,3.28,4.1,4.14
sh.603116,红蜻蜓,0.18,5.97,3.02,0.27,5.99,4.51,0.25,5.12,4.88,0.35,6.26,5.59,0.2,5.55,3.6,0.25,6.02,4.15,1.5,4.29
sh.603132,金徽股份,0.0,0.0,0.0,0.0,0.0,0.0,0.536,11.97,4.48,0.3,13.68,2.19,0.41,11.23,3.65,0.42,13.84,3.03,1.666,3.34
sh.603156,养元饮品,2.0,25.84,7.74,1.2,28.41,4.22,2.0,22.27,8.98,1.8,21.26,8.47,1.6,22.84,7.01,1.86,27.81,6.69,10.46,7.18
sh.603165,荣晟环保,0.43,12.16,3.54,0.7,19.27,3.63,0.35,10.9,3.21,0.46,11.98,3.84,0.49,12.24,4.0,1.1,12.75,8.63,3.53,4.48
sh.603167,渤海轮渡,0.4,8.8,4.55,0.11,7.94,1.39,0.15,7.36,2.04,0.15,8.88,1.69,0.8,8.84,9.05,0.8,9.89,8.09,2.41,4.47
sh.603187,海容冷链,0.6,60.0,1.0,0.6,47.45,1.26,0.3,31.72,0.95,0.35,15.16,2.31,0.55,11.19,4.92,0.5,14.73,3.39,2.9,2.31
sh.603195,公牛集团,3.8,205.29,1.85,2.0,167.3,1.2,2.4,143.26,1.68,3.3,95.65,3.45,3.1,70.24,4.41,2.4,42.8,5.61,17.0,3.03
sh.603198,迎驾贡酒,0.7,34.9,2.01,0.7,69.45,1.01,0.9,62.78,1.43,1.1,66.29,1.66,1.3,53.94,2.41,1.5,39.8,3.77,6.2,2.05
sh.603202,天有为,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.49,93.57,3.73,3.49,3.73
sh.603207,小方制药,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.09,0.0,2.2,29.1,7.56,2.2,7.56
sh.603230,内蒙新华,0.0,0.0,0.0,0.0,25.87,0.0,0.065,11.03,0.59,0.15,15.5,0.97,0.45,12.66,3.55,0.48,12.62,3.8,1.145,2.23
sh.603233,大参林,0.6,78.35,0.77,0.8,42.11,1.9,0.5,39.6,1.26,0.6,24.9,2.41,0.62,15.06,4.12,0.65,17.47,3.72,3.77,2.36
sh.603277,银都股份,0.22,12.31,1.79,1.0,18.5,5.41,0.8,16.43,4.87,0.7,26.82,2.61,1.5,23.17,6.47,0.85,17.3,4.91,5.07,4.34
sh.603279,景津装备,0.6,18.38,3.26,0.7,46.38,1.51,0.8,29.48,2.71,1.0,22.11,4.52,1.72,17.88,9.62,0.9,15.61,5.77,5.72,4.56
sh.603281,江瀚新材,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,26.29,4.56,1.0055,24.4,4.12,1.0,27.49,3.64,3.2055,4.11
sh.603288,海天味业,1.08,200.54,0.54,1.03,105.11,0.98,0.76,79.6,0.95,0.7,37.95,1.84,0.66,45.9,1.44,1.12,36.51,3.07,5.35,1.47
sh.603299,苏盐井神,0.102,7.08,1.44,0.058,9.56,0.61,0.15,9.97,1.5,0.36,8.52,4.23,0.425,11.14,3.82,0.443,10.31,4.3,1.538,2.65
sh.603303,得邦照明,0.228,10.62,2.15,0.251,17.16,1.46,0.343,19.55,1.75,0.333,12.85,2.59,0.333,11.77,2.83,1.381,13.13,10.52,2.869,3.55
sh.603309,维力医疗,0.2,12.53,1.6,0.2,15.83,1.26,0.135,19.98,0.68,0.34,14.23,2.39,0.5,11.98,4.17,0.5,13.7,3.65,1.875,2.29
sh.603317,天味食品,0.28,82.24,0.34,0.25,26.81,0.93,0.05,27.48,0.18,0.32,13.29,2.41,0.4,13.34,3.0,0.55,12.63,4.35,1.85,1.87
sh.603323,苏农银行,0.15,4.96,3.02,0.15,4.87,3.08,0.16,4.69,3.41,0.17,4.16,4.09,0.18,5.29,3.4,0.27,5.19,5.2,1.08,3.7
sh.603326,我乐家居,0.28,8.94,3.13,0.3,9.67,3.1,0.0,7.98,0.0,0.15,9.43,1.59,0.27,6.12,4.41,0.65,9.18,7.08,1.65,3.86
sh.603357,设计总院,0.22,9.27,2.37,0.25,9.22,2.71,0.46,9.08,5.07,0.53,8.9,5.96,0.35,9.06,3.86,0.35,8.3,4.22,2.16,4.03
sh.603365,水星家纺,0.8,13.35,5.99,0.4,16.83,2.38,0.5,13.12,3.81,0.7,14.38,4.87,0.9,16.2,5.56,0.9,20.8,4.33,4.2,4.49
sh.603368,柳药集团,0.68,21.54,3.16,0.6,19.04,3.15,0.48,18.67,2.57,0.508,18.92,2.68,0.6,17.86,3.36,0.751,18.35,4.09,3.619,3.17
sh.603369,今世缘,0.41,57.38,0.71,0.45,54.4,0.83,0.59,50.9,1.16,0.73,48.75,1.5,1.0,45.23,2.21,1.2,36.07,3.33,4.38,1.62
sh.603408,建霖家居,0.35,16.31,2.15,0.385,14.2,2.71,0.395,10.86,3.64,0.47,12.84,3.66,0.67,12.53,5.35,0.5,13.54,3.69,2.77,3.53
sh.603444,吉比特,5.0,426.0,1.17,12.0,421.85,2.84,30.0,312.84,9.59,10.0,245.12,4.08,6.5,218.84,2.97,16.1,440.08,3.66,79.6,4.05
sh.603508,思维列控,0.479,24.31,1.97,0.312,22.98,1.36,0.8483,16.33,5.19,0.5451,15.7,3.47,1.0065,23.78,4.23,3.2883,29.34,11.21,6.4792,4.57
sh.603515,欧普照明,0.5,30.21,1.66,0.5,20.76,2.41,0.5,15.48,3.23,0.5,17.38,2.88,0.85,16.45,5.17,0.9,18.03,4.99,3.75,3.39
sh.603518,锦泓集团,0.0,5.14,0.0,0.0,12.07,0.0,0.0,6.7,0.0,0.1,10.02,1.0,0.26,9.8,2.65,0.31,9.95,3.12,0.67,2.26
sh.603519,立霸股份,0.3,13.32,2.25,0.2,14.77,1.35,0.4,11.05,3.62,1.7,13.04,13.04,1.0,11.82,8.46,1.0,12.43,8.05,4.6,6.13
sh.603529,爱玛科技,0.0,0.0,0.0,0.0,45.57,0.0,0.5,45.87,1.09,1.652,25.04,6.6,0.866,41.02,2.11,1.22,29.88,4.08,4.238,3.47
sh.603551,奥普科技,0.33,14.91,2.21,0.4,10.21,3.92,0.6,9.75,6.15,0.75,10.59,7.08,1.1,10.68,10.3,0.85,12.41,6.85,4.03,6.08
sh.603558,健盛集团,0.35,8.02,4.36,0.0,11.78,0.0,0.15,8.24,1.82,0.65,9.69,6.71,0.45,10.76,4.18,0.55,11.5,4.78,2.15,4.37
sh.603565,中谷物流,0.0,22.81,0.0,0.9,28.39,3.17,2.7,14.54,18.57,0.22,8.23,2.67,0.72,9.8,7.35,1.22,10.39,11.74,5.76,8.7
sh.603566,普莱柯,0.2,20.73,0.96,0.5,22.1,2.26,0.2,27.36,0.73,0.65,22.65,2.87,0.4,12.76,3.13,0.6,13.13,4.57,2.55,2.42
sh.603569,长久物流,0.699,7.88,8.87,0.107,7.23,1.48,0.0,8.79,0.0,0.0,12.39,0.0,0.07,7.44,0.94,0.36,7.84,4.59,1.236,3.97
sh.603587,地素时尚,1.0,19.07,5.24,0.8,19.16,4.18,1.0,15.22,6.57,0.7,13.11,5.34,0.8,12.6,6.35,0.5,13.06,3.83,4.8,5.25
sh.603589,口子窖,1.5,68.9,2.18,1.2,70.87,1.69,1.5,57.67,2.6,1.5,45.3,3.31,1.5,39.24,3.82,1.3,30.39,4.28,8.5,2.98
sh.603600,永艺股份,0.2,13.28,1.51,0.25,12.35,2.02,0.22,9.75,2.26,0.35,11.04,3.17,0.56,11.89,4.71,0.46,12.73,3.61,2.04,2.88
sh.603611,诺力股份,0.0,14.4,0.0,0.3,19.4,1.55,0.55,16.19,3.4,0.55,18.93,2.91,0.622,17.95,3.47,0.897,23.42,3.83,2.919,3.03
sh.603639,海利尔,0.3,20.39,1.47,0.3,25.11,1.19,1.0,25.54,3.92,1.0,15.7,6.37,0.5,12.4,4.03,0.5,12.77,3.92,3.6,3.48
sh.603658,安图生物,0.9,145.18,0.62,0.85,55.06,1.54,0.72,61.85,1.16,0.8,57.01,1.4,1.0521,43.64,2.41,1.26,35.98,3.5,5.5821,1.77
sh.603661,恒林股份,0.28,54.34,0.52,0.0,40.71,0.0,1.0,28.47,3.51,0.98,44.57,2.2,0.0,30.64,0.0,1.27,33.5,3.79,3.53,2.5
sh.603682,锦和商管,0.38,8.35,4.55,0.22,6.08,3.62,0.22,5.41,4.07,0.22,5.74,3.83,0.22,7.48,2.94,0.33,6.52,5.06,1.59,4.01
sh.603689,皖天然气,0.21,12.38,1.7,0.19,10.52,1.81,0.19,7.86,2.42,0.2,8.69,2.3,0.35,8.98,3.9,0.4,8.31,4.81,1.54,2.82
sh.603697,有友食品,0.08,19.65,0.41,0.32,17.57,1.82,0.65,12.44,5.23,0.46,9.3,4.95,0.51,10.18,5.01,0.44,12.51,3.52,2.46,3.49
sh.603699,纽威股份,0.4,12.49,3.2,0.46,10.95,4.2,0.25,11.1,2.25,0.36,13.86,2.6,0.9,22.17,4.06,1.72,47.92,3.59,4.09,3.32
sh.603706,东方环宇,0.45,16.29,2.76,0.6,14.79,4.06,0.8,13.78,5.81,0.7,16.53,4.23,0.9,18.71,4.81,0.9,20.01,4.5,4.35,4.36
sh.603730,岱美股份,0.5,28.55,1.75,0.5,23.32,2.14,0.5,16.08,3.11,0.5,14.49,3.45,0.4,8.99,4.45,0.35,8.14,4.3,2.75,3.2
sh.603788,宁波高发,0.6,13.92,4.31,0.6,14.28,4.2,0.5,10.66,4.69,0.5,14.93,3.35,0.6,13.83,4.34,0.7,16.26,4.31,3.5,4.2
sh.603801,志邦家居,0.66,34.51,1.91,0.8,30.42,2.63,0.6,26.88,2.23,0.7,16.77,4.17,0.7,12.81,5.46,0.6,9.29,6.46,4.06,3.81
sh.603816,顾家家居,1.17,70.51,1.66,0.82,77.16,1.06,1.32,42.71,3.09,1.11,35.0,3.17,1.39,27.58,5.04,1.38,30.33,4.55,7.19,3.1
sh.603833,欧派家居,1.09,134.5,0.81,1.2,147.5,0.81,1.75,121.53,1.44,1.7707,69.61,2.54,2.76,68.94,4.0,2.48,52.32,4.74,11.0507,2.39
sh.603855,华荣股份,0.5,16.14,3.1,0.5,25.28,1.98,1.0,23.1,4.33,1.0,19.96,5.01,1.0,20.29,4.93,1.0,19.61,5.1,5.0,4.08
sh.603871,嘉友国际,1.0,21.51,4.65,1.0,20.8,4.81,0.5,22.6,2.21,0.5,15.86,3.15,0.8,19.35,4.13,0.6,12.82,4.68,4.4,3.94
sh.603886,元祖股份,1.2,17.04,7.04,1.0,23.55,4.25,1.0,19.62,5.1,1.0,18.23,5.49,1.0,14.42,6.93,1.0,14.0,7.14,6.2,5.99
sh.603889,新澳股份,0.16,4.81,3.33,0.2,6.19,3.23,0.3,7.18,4.18,0.4,7.12,5.62,0.3,7.01,4.28,0.3,7.7,3.9,1.66,4.09
sh.603897,长城科技,0.58,17.82,3.25,1.1,49.84,2.21,0.5,21.35,2.34,0.9,20.48,4.39,2.2,23.5,9.36,1.8,25.81,6.97,7.08,4.75
sh.603899,晨光股份,0.4,88.56,0.45,0.5,64.51,0.78,0.6,54.98,1.09,0.5,37.55,1.33,0.8,30.25,2.64,1.0,27.61,3.62,3.8,1.65
sh.603929,亚翔集成,0.25,11.35,2.2,0.1,12.16,0.82,0.1,12.68,0.79,0.25,23.92,1.05,1.0,27.73,3.61,2.0,77.5,2.58,3.7,1.84
sh.603939,益丰药房,0.3,90.19,0.33,0.6,55.11,1.09,0.3,63.84,0.47,0.4,40.04,1.0,0.75,24.13,3.11,0.7,23.1,3.03,3.05,1.5
sh.603948,建业股份,0.25,19.23,1.3,0.2,27.9,0.72,0.55,21.77,2.53,1.92,22.74,8.44,1.0,18.43,5.43,1.0,26.57,3.76,4.92,3.7
sh.603967,中创物流,0.375,13.46,2.79,0.375,14.31,2.62,0.5,9.98,5.01,0.45,10.34,4.35,0.5,9.81,5.1,0.6,12.43,4.83,2.8,4.12
sh.603970,中农立华,0.25,21.1,1.18,0.3,26.05,1.15,0.35,29.3,1.19,0.55,15.36,3.58,0.45,14.2,3.17,0.45,13.1,3.44,2.35,2.28
sh.603995,甬金股份,0.7,26.02,2.69,0.7,57.86,1.21,0.8,27.83,2.87,0.5,19.23,2.6,0.5,18.29,2.73,0.8,17.18,4.66,4.0,2.79
sh.603998,方盛制药,0.12,5.99,2.0,0.06,6.8,0.88,0.24,8.01,3.0,0.35,10.96,3.19,0.25,10.42,2.4,0.35,11.65,3.0,1.37,2.41
sh.605066,天正电气,0.0,13.08,0.0,0.3,11.62,2.58,0.0,7.46,0.0,0.25,9.18,2.72,0.35,6.02,5.81,0.25,7.43,3.36,1.15,3.62
sh.605077,华康股份,0.0,0.0,0.0,1.0,41.85,2.39,0.6,30.34,1.98,0.6,21.64,2.77,0.7,14.72,4.76,0.7,15.3,4.58,3.6,3.3
sh.605090,九丰能源,0.0,0.0,0.0,0.1793,35.17,0.51,0.25,20.65,1.21,0.6,27.93,2.15,0.8,28.53,2.8,1.2307,33.34,3.69,3.06,2.07
sh.605098,行动教育,0.0,0.0,0.0,0.7,56.33,1.24,1.5,29.28,5.12,2.8,38.55,7.26,2.5,35.24,7.09,2.25,41.36,5.44,9.75,5.23
sh.605117,德业股份,0.0,0.0,0.0,0.8,273.79,0.29,1.2,331.2,0.36,2.26,83.9,2.69,3.3,84.8,3.89,3.708,85.04,4.36,11.268,2.32
sh.605266,健之佳,0.0,111.12,0.0,2.3,76.57,3.0,1.575,80.07,1.97,1.46,59.4,2.46,1.285,23.07,5.57,1.1,20.19,5.45,7.72,3.69
sh.605319,无锡振华,0.0,0.0,0.0,0.0,16.96,0.0,0.15,12.93,1.16,0.1,23.02,0.43,0.58,21.05,2.76,0.67,20.76,3.23,1.5,1.9
sh.605337,李子园,0.0,0.0,0.0,0.5,49.7,1.01,0.45,23.43,1.92,0.3,14.09,2.13,0.5,11.29,4.43,0.74,12.04,6.15,2.49,3.13
sh.605368,蓝天燃气,0.0,0.0,0.0,0.5,14.45,3.46,0.5,12.35,4.05,1.0,10.77,9.29,1.3,11.43,11.37,0.85,9.38,9.06,4.15,7.45
sh.605377,华旺科技,0.0,19.97,0.0,0.6,17.94,3.34,0.52,24.54,2.12,0.52,19.09,2.72,1.52,13.35,11.39,0.68,8.18,8.31,3.84,5.58
sh.605599,菜百股份,0.0,0.0,0.0,0.0,13.46,0.0,0.36,10.18,3.54,0.46,14.89,3.09,0.7,11.35,6.17,0.72,15.19,4.74,2.24,4.38
sh.688009,中国通号,0.2,5.86,3.41,0.2,4.98,4.02,0.17,4.79,3.55,0.17,4.38,3.88,0.17,6.26,2.72,0.17,5.27,3.23,1.08,3.47
sh.688032,禾迈股份,0.0,0.0,0.0,0.0,703.99,0.0,3.0,937.15,0.32,7.7,270.0,2.85,3.6,112.64,3.2,3.2,98.86,3.24,17.5,2.4
sh.688036,传音控股,0.68,152.14,0.45,1.08,156.9,0.69,1.5,79.52,1.89,4.8,138.4,3.47,4.5,95.0,4.74,2.3,68.36,3.36,14.86,2.43
sh.688208,道通科技,0.4,68.51,0.58,0.5,79.4,0.63,0.1,31.55,0.32,0.0,23.75,0.0,0.8,39.16,2.04,1.08,33.92,3.18,2.88,1.35
sh.688358,祥生医疗,1.0,50.59,1.98,0.8,45.58,1.76,0.5,34.4,1.45,0.7,37.78,1.85,0.8,24.42,3.28,1.0,30.77,3.25,4.8,2.26
sh.688399,硕世生物,3.0,192.34,1.56,5.5,137.5,4.0,10.0,87.71,11.4,0.0,54.56,0.0,0.0,65.72,0.0,3.4,67.99,5.0,21.9,5.49
sh.688516,奥特维,0.4,79.5,0.5,0.6,245.72,0.24,1.6,201.0,0.8,1.5963,90.5,1.76,2.8555,43.31,6.59,2.1,40.21,5.22,9.1518,2.52
sh.688517,金冠电气,0.0,0.0,0.0,0.0,13.64,0.0,0.42,11.49,3.66,0.2,15.79,1.27,0.5,13.56,3.69,0.55,16.11,3.41,1.67,3.01
sh.688606,奥泰生物,0.0,0.0,0.0,2.0,123.01,1.63,4.0,104.4,3.83,10.0,68.6,14.58,3.0,63.3,4.74,2.5,64.18,3.9,21.5,5.74
