股票代码,股票名称,2025年累计分红,2025-11-28收盘价,股息率(%)
sh.600737,中粮糖业,0.41,17.16,2.39
sh.600738,丽尚国潮,0.015,5.12,0.29
sh.600739,辽宁成大,0.02,11.76,0.17
sh.600740,山西焦化,0.02,4.01,0.5
sh.600741,华域汽车,0.8,19.42,4.12
sh.600742,富维股份,0.53,9.57,5.54
sh.600743,华远控股,0.0,2.14,0.0
sh.600744,华银电力,0.0,6.09,0.0
sh.600745,闻泰科技,0.0,40.92,0.0
sh.600746,江苏索普,0.05,7.1,0.7
sh.600748,上实发展,0.0,6.14,0.0
sh.600749,西藏旅游,0.0,17.33,0.0
sh.600750,江中药业,1.2,21.72,5.52
sh.600751,海航科技,0.0,3.93,0.0
sh.600753,*ST海钦,0.0,8.68,0.0
sh.600754,锦江酒店,0.38,25.39,1.5
sh.600755,厦门国贸,0.33,6.65,4.96
sh.600756,浪潮软件,0.0,24.3,0.0
sh.600757,长江传媒,0.41,8.61,4.76
sh.600758,辽宁能源,0.032,3.85,0.83
sh.600759,洲际油气,0.0,2.67,0.0
sh.600760,中航沈飞,0.26,58.71,0.44
sh.600761,安徽合力,0.7,19.58,3.58
sh.600763,通策医疗,0.45,42.05,1.07
sh.600764,中国海防,0.059,30.31,0.19
sh.600765,中航重机,0.1218,15.99,0.76
sh.600768,宁波富邦,0.05,13.3,0.38
sh.600769,祥龙电业,0.0,13.06,0.0
sh.600770,综艺股份,0.0,5.24,0.0
sh.600771,广誉远,0.0,19.32,0.0
sh.600773,西藏城投,0.01,13.07,0.08
sh.600774,汉商集团,0.0,9.99,0.0
sh.600775,南京熊猫,0.0,11.03,0.0
sh.600776,东方通信,0.061,13.73,0.44
sh.600777,*ST新潮,0.0,3.91,0.0
sh.600778,友好集团,0.0,7.06,0.0
sh.600779,水井坊,0.97,40.33,2.41
sh.600780,通宝能源,0.0,5.84,0.0
sh.600782,新钢股份,0.01,3.81,0.26
